mapchecks,steps,reward,belief
0,18,43.02943725152285,0
3,31,28.37258300203047,3.0
5,32,28.201010126776666,2.0
4,28,32.61522368914976,2.0
2,29,29.958369439657375,2.5
1,22,38.61522368914976,2.0
1,25,34.786796564403566,2.0
4,30,30.201010126776662,2.5
1,25,34.786796564403566,2.0
2,26,35.02943725152285,3.5
3,31,28.78679656440357,3.0
1,22,39.02943725152285,2.0
2,26,35.02943725152285,3.0
4,35,23.544155877284286,2.5
2,29,30.786796564403566,2.5
1,23,37.61522368914976,3.0
2,28,31.786796564403566,3.0
0,19,42.02943725152285,0
2,25,36.02943725152285,2.0
2,26,34.61522368914976,2.5
10,48,12.615223689149762,2.5
3,30,29.372583002030467,3.0
2,26,34.201010126776666,2.5
3,27,33.61522368914976,2.0
2,26,34.61522368914976,2.5
6,35,24.78679656440357,3.0
0,20,40.61522368914976,0
4,35,23.95836943965738,3.0
3,30,29.372583002030467,2.0
0,20,40.61522368914976,0
5,37,22.786796564403573,4.0
1,25,34.78679656440356,3.0
2,24,36.61522368914976,3.0
1,24,36.20101012677666,3.0
1,25,35.201010126776666,2.0
7,41,18.786796564403573,3.0
5,37,23.61522368914976,3.0
0,21,39.61522368914976,0
3,30,29.786796564403566,3.0
1,24,36.201010126776666,2.0
0,19,42.02943725152285,0
0,22,38.20101012677666,0
5,34,25.78679656440357,2.0
1,23,37.61522368914976,2.0
6,38,21.372583002030478,2.5
2,24,37.02943725152285,3.0
1,24,36.20101012677666,3.0
4,33,26.372583002030474,2.0
1,21,40.02943725152285,2.0
10,47,11.544155877284284,3.0
3,30,28.95836943965738,3.0
3,28,32.61522368914976,3.0
1,23,37.61522368914976,3.0
1,26,33.786796564403566,2.0
1,24,36.20101012677666,3.0
0,23,36.37258300203047,0
1,25,34.37258300203047,3.0
3,28,33.02943725152285,2.0
0,20,41.02943725152285,0
2,25,35.61522368914976,2.5
1,24,35.786796564403566,2.0
1,23,37.61522368914976,2.0
0,20,41.02943725152285,0
3,29,30.786796564403566,3.0
0,21,39.61522368914976,0
1,22,38.61522368914976,2.0
2,23,38.02943725152285,2.0
1,22,38.61522368914976,3.0
5,36,24.61522368914976,3.0
0,23,36.786796564403566,0
8,42,18.201010126776666,2.0
1,22,39.02943725152285,2.0
3,28,32.201010126776666,2.0
3,29,31.201010126776662,3.0
3,28,31.786796564403566,3.0
1,23,37.20101012677666,3.0
4,34,25.786796564403566,2.5
1,25,34.786796564403566,3.0
2,27,33.61522368914976,3.5
0,18,43.02943725152285,0
1,22,38.61522368914976,3.0
3,30,30.201010126776666,2.0
1,25,34.37258300203047,3.0
0,22,38.20101012677666,0
1,23,38.02943725152285,2.0
2,28,31.786796564403566,2.5
1,24,36.61522368914976,2.0
1,22,38.61522368914976,2.0
3,28,32.201010126776666,3.0
1,23,37.201010126776666,2.0
1,26,33.37258300203047,3.0
8,45,15.20101012677667,2.0
1,26,33.37258300203047,2.0
6,38,21.78679656440357,3.5
1,23,37.61522368914976,2.0
2,28,30.958369439657375,2.5
0,21,39.201010126776666,0
2,26,34.201010126776666,2.5
0,19,41.61522368914976,0
0,19,42.02943725152285,0
1,26,33.786796564403566,2.0
0,19,42.02943725152285,0
1,24,36.61522368914976,3.0
2,23,38.02943725152285,2.5
3,27,33.201010126776666,3.0
4,34,26.61522368914976,2.5
1,23,37.201010126776666,2.0
0,20,40.201010126776666,0
0,20,41.02943725152285,0
0,19,42.02943725152285,0
1,24,36.20101012677666,3.0
1,23,37.20101012677666,3.0
1,24,36.201010126776666,2.0
2,27,32.37258300203047,2.0
1,24,36.201010126776666,2.0
1,22,39.02943725152285,2.0
5,31,29.61522368914976,3.0
1,22,39.02943725152285,2.0
5,33,26.786796564403566,3.0
5,37,21.95836943965738,3.0
0,20,40.61522368914976,0
1,25,35.61522368914976,2.0
3,29,31.201010126776662,2.0
6,36,24.201010126776666,2.0
4,31,29.201010126776662,2.5
1,22,39.02943725152285,2.0
0,19,42.02943725152285,0
3,28,32.61522368914976,3.0
2,25,35.61522368914976,2.5
2,26,34.201010126776666,3.0
2,29,29.544155877284275,2.5
1,22,38.61522368914976,2.0
1,22,38.61522368914976,3.0
6,37,22.786796564403573,2.5
0,22,38.20101012677666,0
2,27,32.786796564403566,2.5
1,24,36.20101012677666,3.0
0,20,41.02943725152285,0
1,23,37.201010126776666,3.0
0,21,39.201010126776666,0
0,19,42.02943725152285,0
2,27,32.786796564403566,2.5
1,23,37.61522368914976,2.0
2,28,31.786796564403563,2.5
1,23,37.61522368914976,2.0
4,32,28.201010126776662,3.0
1,22,39.02943725152285,2.0
3,30,30.201010126776662,3.0
5,36,24.201010126776666,3.0
2,27,33.20101012677666,3.0
2,27,32.786796564403566,3.5
5,37,21.958369439657382,3.0
1,22,39.02943725152285,2.0
2,28,31.786796564403566,2.5
1,25,35.201010126776666,2.0
1,24,35.786796564403566,2.0
2,26,34.201010126776666,3.0
2,29,29.129942314911183,2.5
6,38,21.786796564403573,2.0
1,23,37.61522368914976,2.0
