mapchecks,steps,reward
0,18,43.02943725152285
2,29,31.201010126776662
4,33,26.372583002030474
4,29,32.02943725152285
3,31,28.786796564403566
1,22,38.61522368914976
1,27,32.786796564403566
2,27,34.02943725152285
1,26,34.201010126776666
2,26,35.02943725152285
3,33,26.78679656440357
1,22,39.02943725152285
2,26,35.02943725152285
4,35,23.95836943965738
1,24,36.61522368914976
0,21,39.61522368914976
2,29,31.201010126776662
0,19,42.02943725152285
2,25,36.02943725152285
2,28,32.61522368914976
3,32,28.201010126776662
3,32,27.37258300203047
1,23,38.02943725152285
5,35,25.615223689149758
3,28,32.61522368914976
5,36,24.201010126776662
0,20,40.61522368914976
1,25,35.61522368914976
2,32,28.201010126776662
0,20,40.61522368914976
4,36,23.78679656440357
0,23,37.201010126776666
0,22,38.61522368914976
0,22,38.61522368914976
1,25,35.201010126776666
5,33,28.029437251522854
2,31,29.201010126776662
0,21,39.61522368914976
2,28,32.201010126776666
1,24,36.201010126776666
0,19,42.02943725152285
0,23,37.61522368914976
5,34,25.78679656440357
1,23,37.61522368914976
2,26,34.201010126776666
2,24,37.02943725152285
4,34,25.786796564403566
5,38,21.78679656440357
1,21,40.02943725152285
7,43,16.372583002030474
4,36,23.372583002030474
2,27,34.02943725152285
0,21,40.02943725152285
3,33,28.029437251522854
0,22,38.61522368914976
0,24,35.786796564403566
4,30,30.201010126776662
3,28,33.02943725152285
0,20,41.02943725152285
1,28,32.201010126776666
1,24,35.786796564403566
1,23,37.61522368914976
0,20,41.02943725152285
2,27,34.02943725152285
0,21,39.61522368914976
1,22,38.61522368914976
2,23,38.02943725152285
0,20,41.02943725152285
4,34,27.029437251522854
0,23,36.786796564403566
3,35,23.544155877284282
1,22,39.02943725152285
3,28,32.201010126776666
4,36,24.201010126776666
0,23,36.786796564403566
0,21,40.02943725152285
3,30,30.201010126776662
2,28,32.201010126776666
2,27,33.61522368914976
0,18,43.02943725152285
0,20,41.02943725152285
4,30,30.615223689149758
1,26,33.786796564403566
0,24,36.201010126776666
1,23,38.02943725152285
3,30,30.201010126776662
1,24,36.61522368914976
1,22,38.61522368914976
3,29,31.615223689149758
1,23,37.201010126776666
3,31,29.615223689149758
5,39,21.20101012677667
5,37,23.615223689149758
5,37,22.78679656440357
1,23,37.61522368914976
2,30,29.786796564403566
0,21,39.201010126776666
3,28,33.02943725152285
0,19,41.61522368914976
0,19,42.02943725152285
